url	kind	httpStatus	visits90	gscImp90	gscPos	titleLen	descLen	words	tables	incoming	outgoing	promisedPct	firstLinkPct	l1_02_no_artifact_word	l1_03_no_digit	l1_04_title_long	l1_05_desc_len	l1_06_desc_no_range	l1_07_few_tables	l1_08_no_faq	l1_09_orphan	l1_10_few_outgoing	l1_11_thin	l1_12_stale	l2_05_desc_echoes_title	l2_06_no_range_in_desc	l2_07_no_source_date	l2_09_desc_len	l3_02_defines_instead_of_answers	l3_05_promise_buried	l3_11_first_link_late	l3_12_title_h2_mismatch
/articles/agregatory-vakansij-digital-sravnenie-ploshhadok	статья	200	0	3	7.7	67	153	1194	1	2	5	30	8	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0
/articles/analitik-dannyh-ili-marketolog-analitik	статья	200	0	8	5.6	74	153	2384	4	0	4	16	16	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
/articles/biznes-analitik-kto-eto-otlichiya-ot-analitika-dannyh	статья	200	0	0		67	138	2137	3	0	3	22	83	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0
/articles/chto-takoe-smm-professiya-obyazannosti-zarplata	статья	200	0	8	57.9	62	137	1183	2	1	6	9	35	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	1
/articles/frilans-digital-s-nulja	статья	200	0	15	9.5	75	145	1708	2	0	2	26	80	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0
/articles/frilans-ili-shtat-marketolog	статья	200	0	15	52.7	71	153	1803	3	0	3	24	74	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0
/articles/gde-iskat-rabotu-krome-avito	статья	200	0	23	8.1	74	154	1968	2	2	4	25	12	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
/articles/gde-iskat-rabotu-krome-hh-ru-15-ploshchadok-2026	статья	200	1	77	7.3	74	152	1762	2	2	4	19	27	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1
/articles/gde-iskat-vakansii-dizajnera-2026	статья	200	22	6	8.2	80	146	2413	4	1	11	10	7	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0
/articles/gde-nayti-spetsialista-digital	статья	200	0	1	10	73	170	1232	3	0	2	15	24	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0
/articles/gde-razmeshchat-vakansii-ploshchadki-ceny-2026	статья	200	5	2	7.5	68	145	3073	3	0	1	17	69	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0
/articles/hr-menedzher-digital-agentstvo-najm	статья	200	0	8	36.4	66	137	2401	0	0	11		16	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0		0	0
/articles/inflyuens-marketing-zarplaty-i-put-v-professiyu	статья	200	0	0		70	146	2321	5	0	1	12	86	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0
/articles/ispytatelnyj-srok-novaya-rabota-digital-90-dnej	статья	200	0	0		73	154	1160	1	0	2	58	65	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0
/articles/junior-seo-spetsialist-bez-opyta	статья	200	1	43	37.8	71	148	1965	4	1	5	12	2	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/articles/kak-dogovoritsya-o-povyshenii-zarplaty	статья	200	0	0		73	160	1344	0	4	3		75	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0		1	0
/articles/kak-nanyat-marketologa-gajd-dlya-hr	статья	200	0	1	35	79	154	2048	2	0	3	50	51	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0
/articles/kak-nanyat-smm-specialista-marketologa-dizajnera-telegram	статья	200	0	4	5.5	73	145	1921	3	0	3	48	77	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0
/articles/kak-napisat-vakansiyu-marketologa	статья	200	0	2	4.5	69	149	1331	0	0	3		72	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0		1	0
/articles/kak-nayti-rabotu-marketologu	статья	200	0	11	15.2	66	169	1075	0	1	3		35	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0		1	0
/articles/kak-nayti-rabotu-smm-menedzheru-2026	статья	200	1	70	7.8	69	143	2461	1	4	8	92	19	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0
/articles/kak-nayti-rabotu-telegram-digital	статья	200	0	15	17.3	72	120	796	1	0	4	71	41	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0
/articles/kak-ocenit-portfolio-dizajnera	статья	200	0	25	6.6	71	139	2051	4	1	3	19	4	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0
/articles/kak-rabotodateli-ishchut-smm-spetsialistov	статья	200	0	2	11.5	65	148	1217	1	0	3	55	93	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0
/articles/kak-stat-analitikom-dannykh-s-nulya	статья	200	0	0		69	149	1453	2	0	2	4	96	1	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0
/articles/kak-stat-testirovshchikom	статья	200	0	0		71	134	2380	4	0	1	17	87	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0
/articles/karera-smm-specialista	статья	200	0	29	56.2	76	161	1815	3	1	6	25	18	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/articles/klyuchevye-navyki-v-rezyume-digital	статья	200	0	0		68	140	2917	3	0	1	26	77	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0
/articles/kontent-meyker-kto-eto-otlichiya-ot-smm-specialista	статья	200	3	39	9.3	71	144	2626	3	0	1	17	68	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0
/articles/lichnyy-brend-marketologa	статья	200	0	10	5.9	78	141	1711	4	0	1	24	80	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0
/articles/menedzher-marketpleysov-bez-opyta-udalenno	статья	200	1	10	11.5	71	143	2876	5	0	1	9	77	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0
/articles/menedzher-marketpleysov-s-nulya	статья	200	0	0		71	143	2545	4	0	1	3	72	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0
/articles/nanyat-dzhuniora-marketologa-ili-senora-startapu	статья	200	0	4	9	76	148	2256	3	0	3	19	24	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
/articles/nejroseti-dlya-dizajnerov-ai-navyki-2026	статья	200	0	0		65	132	2161	3	0	1	20	84	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0
/articles/nejroseti-dlya-marketologa-2026	статья	200	0	51	42.6	64	139	2580	2	6	10	48	11	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0
/articles/oformlenie-rezyume-pervyy-ekran	статья	200	0	1	1	74	140	3099	3	0	1	12	76	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0
/articles/portfolio-kopirajtera-s-nulya	статья	200	1	73	23.2	72	140	1988	3	1	4	23	45	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0
/articles/portfolio-marketologa-oshibki	статья	200	0	23	19.5	68	135	1385	0	1	2	24	74	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0
/articles/portfolio-smm-spetsialista-primery-kejsov	статья	200	13	64	14.8	71	145	2048	2	1	3	37	77	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0
/articles/prodakt-i-prodzhekt-menedzher-vakansii-2026	статья	200	0	2	8	71	150	1260	1	0	4	11	57	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0
/articles/product-manager-kto-eto	статья	200	0	25	64.2	71	145	2123	3	0	2	31	82	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0
/articles/professionalnoe-vygoranie-priznaki	статья	200	0	1	67	74	143	2861	3	0	1	16	75	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0
/articles/professiya-kopirajter-kontent-menedzher	статья	200	1	12	18.1	78	151	1789	3	1	2	17	51	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0
/articles/professiya-marketolog	статья	200	0	1	10	74	160	1417	1	0	2	27	73	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0
/articles/professiya-targetolog	статья	200	2	13	32.6	59	142	1253	0	0	3		20	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0		0	0
/articles/professiya-veb-analitik-2026	статья	200	0	0		66	140	2178	2	3	6	47	21	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0
